ID,Track ID,song_title,artist,speechiness,key,acousticness,loudness,mode,energy,danceability,liveness,time_signature,tempo,language,weather,time_of_day
66,5Arqcrfplwhsft133Wakun,Prema Preeti Nannusiru,S. P. Balasubrahmanyam|K J Yesudas,0.045,8.0,0.58,-12.826,1.0,0.127,0.81,0.5,4.0,155.998,Kannada,Clear,Night
67,4favS3dUDAORyYL1WUG5Qp,Boy Friend Barthaanantha,S. Janaki,0.052,7.0,0.27,-10.277,1.0,0.391,0.53,0.5,4.0,125.923,Kannada,Clear,Night
68,5pzK41GbjE53D2XmxDs4be,Eke Heegaytho,S. P. Balasubrahmanyam|B.R.Chaya,0.0836,1.0,0.299,-2.566,0.0,0.116,0.08,0.511,4.0,141.072,Kannada,Foggy,Night
69,6UChvHlP5Ifv48xvw2YPdL,Kudiyode Nanna Weaknessu,S. P. Balasubrahmanyam,0.06,9.0,0.7,-10.355,1.0,0.368,0.84,0.6,4.0,155.067,Kannada,Rainy,Night
70,40frUt8uGobiMqhCI3ClvD,Kaalavannu Thadeyoru Yaaru,S. Janaki|K J Yesudas,0.07,11.0,0.013,-2.642,0.0,0.132,0.8,0.613,4.0,126.032,Kannada,Clear,Night
71,7nFAsHNf56DFgTNXvMy6Yt,Haavina Dwesha Hanneradu Varusha,S. P. Balasubrahmanyam,0.0061,1.0,0.6,-2.846,1.0,0.378,0.44,0.7,4.0,118.927,Kannada,Foggy,Night
72,1S5psukULDFEXGHGfCJRTx,Jagave Ondu Ranaranga,Dr. Rajkumar,0.0484,8.0,0.246,-13.058,1.0,0.544,0.17,0.066,4.0,195.724,Kannada,Cloudy,Night
73,6N9LFZI7wtuWe4T7lLkVhf,Mosagaarana,S. P. Balasubrahmanyam,0.031,10.0,0.03,-4.774,0.0,0.481,0.41,0.2,4.0,120.009,Kannada,Clear,Night
74,6pLYDNY6xklowEKpyOuTi4,Ooduva Nadhi Sagarava,P.B. Sreenivas|P. Susheela,0.077,2.0,0.875,-4.217,1.0,0.254,0.64,0.043,4.0,130.061,Kannada,Rainy,Morning
75,5b7PmNtDLm0gVOFjAOxWKZ,En Hudgiro Idyakingaadthiro,S. P. Balasubrahmanyam|Master Manjunath|S. Janaki,0.061,10.0,0.58,-6.912,0.0,0.458,0.49,0.7,4.0,139.964,Kannada,Clear,Night
76,2ByVPzJ95eQGHhmbW0Sn6k,Poojisilandhe,S. Janaki,0.0135,9.0,0.63,-5.887,1.0,0.008,0.86,0.53,4.0,120.022,Kannada,Rainy,Night
77,3cUmfVgLjZiNjaUm7sgxyk,Kannada Naadina Veeraramaniya,P.B. Sreenivas,0.018,0.0,0.8,-11.926,1.0,0.205,0.74,0.0,4.0,120.04,Kannada,Rainy,Morning
78,1GsDiezOV27q3RZGuq4csf,Cheluveya Nota Chenna,Dr. Rajkumar,0.04,8.0,0.33,-13.807,1.0,0.988,0.67,0.2,4.0,203.934,Kannada,Sunny,Afternoon
79,6iCX6gXJcLIEkJkpVS9Uud,Naavindu Haado Haadige,S. P. Balasubrahmanyam|S. Janaki,0.072,0.0,0.959,-5.94,0.0,0.111,0.56,0.831,4.0,119.1,Kannada,Rainy,Morning
80,0Zxng5gnnB0GSGlFjhmhRO,Naane Rajakumara,P.B. Sreenivas,0.0664,1.0,0.9,-9.918,1.0,0.962,0.74,0.7,4.0,133.976,Kannada,Sunny,Afternoon
81,1Ekn7LX60buIXP2jVQN0FZ,Koodi Balona,S. Janaki|Dr. Rajkumar|S. P. Balasubrahmanyam|Chorus,0.05,2.0,0.679,-3.554,1.0,0.881,0.77,0.972,4.0,198.054,Kannada,Sunny,Afternoon
82,3ppWNa5fKkeZWiSQE6fpuh,Hosa Baalu,S. Janaki,0.0846,7.0,0.75,-6.657,1.0,0.741,0.77,0.6,4.0,198.068,Kannada,Sunny,Afternoon
83,6qUWiqyN1sxcYKNn1JvfXi,Chinna Baalalli,Dr. Rajkumar,0.0344,11.0,0.581,-11.509,0.0,0.403,0.81,0.13,4.0,163.004,Kannada,Clear,Night
84,1DO4gYDGiTeVO88l1jDQ3W,Preethine Aa Dyavaru Thanda,P.B. Sreenivas|P. Susheela,0.033,10.0,0.165,-10.925,1.0,0.668,0.66,0.909,4.0,149.952,Kannada,Cloudy,Evening
85,0cI4m2p1eWnwCeqQwFZmMZ,Santhasa Araluva Samaya,S. P. Balasubrahmanyam|Rathna Mala Prakash,0.084,10.0,0.27,-3.857,0.0,0.559,0.02,1.0,4.0,139.933,Kannada,Cloudy,Night
86,0MDTgfomMGqTJUHY0Hd3co,Yaaru Neenu Endhu Nanna,Dr. Rajkumar,0.0819,9.0,0.21,-13.318,1.0,0.641,0.72,0.2,4.0,183.758,Kannada,Cloudy,Evening
87,58Js1Zfp2DBdZBZS6uLHU4,Mounave Abharana,P.B. Sreenivas,0.02,7.0,0.53,-12.006,0.0,0.076,0.24,0.403,4.0,120.749,Kannada,Foggy,Night
88,5RubvkB5g8reuqqfLeY5Wk,Madikeri Sipaayi,S. P. Balasubrahmanyam|K. S. Chithra,0.08,2.0,0.389,-6.668,0.0,0.105,0.5,0.039,4.0,106.984,Kannada,Clear,Night
89,1lJk9gPAJvp5eCoUU3okBQ,Maamaravello,S. P. Balasubrahmanyam,0.0,2.0,0.02,-12.927,1.0,0.431,0.9,0.8,4.0,120.077,Kannada,Clear,Night
90,0JmujCEG8MaPLLcCjVMmyi,Nammooru Mysooru,S. Janaki|S. P. Balasubrahmanyam,0.002,0.0,0.413,-6.621,0.0,0.485,0.85,0.766,4.0,113.018,Kannada,Clear,Night
91,3zq5cX3ofshoKb9nILv7xT,Kaada Noda Hode,S. P. Balasubrahmanyam|K. S. Chithra,0.01,10.0,0.57,-3.493,0.0,0.21,0.83,0.6,4.0,118.009,Kannada,Clear,Night
92,3Ug4FdYNRP8TlJDYy9KEHN,Maathonda Heluve,S. Janaki|S. P. Balasubrahmanyam,0.05,1.0,0.075,-2.621,0.0,0.417,0.59,0.247,4.0,123.017,Kannada,Clear,Night
93,7ibApbm17OlLrLJ64kYxpl,He Gangu Ee Biku Kalisikodu,S. P. Balasubrahmanyam|S. Janaki,0.088,9.0,0.43,-11.522,0.0,0.005,0.44,0.5,4.0,124.934,Kannada,Foggy,Night
94,1AehTwefWf38KAZ9e8dmCG,Dumdum Dol,S. P. Balasubrahmanyam,0.009,6.0,0.308,-7.535,1.0,0.024,0.98,0.073,4.0,149.881,Kannada,Clear,Night
95,3KG7ISuVTZ1a2gFK2abuwO,Ninnantha Appa Illa,Dr. Rajkumar|B.R.Chaya,0.0272,4.0,0.51,-4.351,1.0,0.06,0.48,0.4,4.0,164.012,Kannada,Foggy,Night
96,2qi7eHeuD88HEiUGrQSVkM,Olavina Priyalathe,P.B. Sreenivas,0.0607,8.0,0.6,-3.985,0.0,0.572,0.88,0.2,4.0,164.866,Kannada,Clear,Evening
97,1l86HfFUmSXJsg8X51EKe5,Bathroominalli,Vani Jairam,0.066,4.0,0.108,-11.956,0.0,0.455,0.13,0.756,4.0,122.429,Kannada,Clear,Night
98,4RvCIXpVhfktLg9VECKnTK,O Premi O Premi,S. P. Balasubrahmanyam,0.022,5.0,0.28,-2.917,1.0,0.798,0.34,0.1,4.0,148.863,Kannada,Cloudy,Night
99,5xNLodPwgPBfalAqmoZxcv,Doorada Oorininda,S. P. Balasubrahmanyam|Manjula Gururaj,0.0891,10.0,0.793,-9.385,0.0,0.321,0.23,0.993,4.0,180.0,Kannada,Rainy,Morning
100,4TeyIKTEXFyV5TWwDyK1BD,Naachi Odidhanu Madana,S. Janaki|S. P. Balasubrahmanyam,0.0339,0.0,0.24,-2.646,1.0,0.587,0.93,0.9,4.0,115.023,Kannada,Cloudy,Evening
101,7sRak9f3g8FSMOWLga4mvN,Premavide,S. Janaki,0.07,5.0,0.224,-10.643,0.0,0.691,0.49,0.899,4.0,115.981,Kannada,Cloudy,Evening
102,7KyxhDXoPBiGNHTl7T4bPG,Belli Modave Yelli Oduve,Vani Jairam|S. P. Balasubrahmanyam,0.0091,0.0,0.301,-11.617,1.0,0.249,0.06,0.274,4.0,139.948,Kannada,Foggy,Night
103,3jn6Jl9eU0uZVpl3WY7ebP,Devaru Hoseda Premada Daara,Dr. Balamurali Krishna,0.0941,7.0,0.568,-11.405,1.0,0.176,0.02,0.563,4.0,143.988,Kannada,Foggy,Night
104,0RwjYuGGnpql1UBfhOaq0b,Naanu Yaaru Yaava Vooru,S. P. Balasubrahmanyam,0.022,11.0,0.12,-7.428,1.0,0.967,0.03,0.2,4.0,127.055,Kannada,Cloudy,Night
105,6pGXpFDOFYsUsEbBXJuShD,Maneyanu Belagidhe,S. Janaki|S. P. Balasubrahmanyam,0.075,0.0,0.078,-5.091,0.0,0.272,0.51,0.345,4.0,108.29,Kannada,Clear,Night
106,1o6DsVtuLsmiuGwQco38us,Elle Iru Hege Iru,P. Susheela,0.0662,9.0,0.77,-10.721,1.0,0.133,0.12,0.9,4.0,154.915,Kannada,Rainy,Morning
107,6o1vvkvkzshmYC7dWCKRak,Preethiyinda,S. P. Balasubrahmanyam|B.R.Chaya|Manjula Gururaj,0.074,6.0,0.32,-11.046,1.0,0.108,0.91,0.5,4.0,152.454,Kannada,Clear,Night
108,4qG2aIKHmMapsijSvT0VOK,Enendu Naa Helali,Dr. Rajkumar,0.05,8.0,0.211,-6.884,0.0,0.57,0.02,0.569,4.0,179.95,Kannada,Cloudy,Night
109,7ACZo8xuI0RsMdLNB2CAa2,Neeli Baanalli,B.R.Chaya,0.039,7.0,0.96,-2.239,0.0,0.006,0.77,0.6,4.0,205.974,Kannada,Rainy,Morning
110,526dVW3FufGGOInerlkJah,Kum Kuma Iruvudhe,S. P. Balasubrahmanyam,0.08,6.0,0.756,-2.034,1.0,0.538,0.04,0.891,4.0,104.796,Kannada,Clear,Night
111,4ImXwp7o8P8za8OoAFpFGV,Alli Illi Noduve,S. Janaki|Dr. Rajkumar,0.01,1.0,0.924,-8.881,1.0,0.032,0.16,0.282,4.0,160.098,Kannada,Rainy,Morning
112,14OTUmj8i3DlJy6dtQZXX2,Nooraroorugalalli,S. P. Balasubrahmanyam|Vani Jairam,0.0406,5.0,0.88,-8.369,1.0,0.15,0.81,0.5,4.0,145.016,Kannada,Rainy,Morning
113,6bjo0F7O5UbkuEevXZjWJu,Hey Nanagaagiye,S. P. Balasubrahmanyam,0.0303,7.0,0.926,-6.644,0.0,0.992,0.64,0.643,4.0,161.772,Kannada,Sunny,Evening
114,5DWmqdOpncegGR2A4TdTOg,Indu Enage,S. Janaki,0.04,1.0,0.27,-3.362,1.0,0.438,0.66,0.2,4.0,123.106,Kannada,Clear,Night
115,6KsuDiUbc2Xzma3ZQiK3vr,Sihimuthu,S. Janaki|P.B. Sreenivas,0.004,1.0,0.052,-6.783,1.0,0.22,0.73,0.25,4.0,134.068,Kannada,Clear,Night
116,1dlU9UFceTFbb5Hw7S1d1Z,Barasidilu Badithanatha Kadu,Dr. Rajkumar,0.05,5.0,0.66,-3.105,0.0,0.478,0.62,0.2,4.0,122.04,Kannada,Clear,Night
117,0uVBD1PxDkcui9VbICpbYk,Thallo Model Gaadi Idu,S. P. Balasubrahmanyam,0.0909,5.0,0.72,-5.546,0.0,0.173,0.87,0.6,4.0,139.978,Kannada,Rainy,Morning
118,5qxoofBgePxcgLFFNmKmKv,Yeri Mele Yeri,S. P. Balasubrahmanyam|L.R. Eswari,0.0662,1.0,0.91,-13.751,0.0,0.735,0.21,0.147,4.0,129.861,Kannada,Clear,Night
119,0GbZa6LNP4Y0gq01LYmZVm,Naanu Neenu Ondadamelaey,Manjula Gururaj|S. P. Balasubrahmanyam,0.08,1.0,0.83,-10.06,0.0,0.772,0.07,0.6,4.0,124.953,Kannada,Clear,Night
120,0bSg0Qu17jW8Gn3Y5te5KD,Ee Sogasaada Sanje,Dr. Rajkumar|Vani Jairam,0.08,1.0,0.775,-12.236,1.0,0.628,0.22,0.382,4.0,127.872,Kannada,Clear,Night
121,78KAhwQNVB32ivPUC4vSZW,Endu Ninna Noduve,P.B. Sreenivas,0.0872,2.0,0.14,-13.841,1.0,0.188,0.62,0.2,4.0,128.0,Kannada,Clear,Night
122,1slt8I36m4NsOeCit19npD,Muttina Hanigalu,S. P. Balasubrahmanyam|S. Janaki,0.03,4.0,0.888,-11.061,1.0,0.87,0.14,0.415,4.0,143.97,Kannada,Stormy,Night
123,1OwhXFpVxbSLXked35VNFJ,E Sambhashane,S. Janaki|S. P. Balasubrahmanyam,0.0137,1.0,0.76,-3.866,0.0,0.797,0.81,0.3,4.0,127.043,Kannada,Sunny,Evening
124,5U5yekndUz5jLk8t5BDbgY,O Nallane Savi Mathonda,S. P. Balasubrahmanyam|P. Susheela,0.0344,10.0,0.89,-12.874,0.0,0.679,0.68,0.6,4.0,170.312,Kannada,Clear,Evening
125,2sVX3ANK2WL3ke00ujnQ3y,Nee Mudida Malliga,P. Susheela|P.B. Sreenivas,0.0456,11.0,0.615,-7.366,0.0,0.708,0.49,0.011,4.0,189.964,Kannada,Clear,Evening
126,7wtwRlhjwMX83ymwxIXfhM,Hoovinda Hoovige,S. Janaki,0.01,6.0,0.16,-8.112,1.0,0.02,0.72,0.5,4.0,171.866,Kannada,Clear,Night
127,7GtXbwbdDLdO7l46RhnRpp,Baanallu Neene,Jagadesh|Venu,0.0472,1.0,0.443,-9.103,1.0,0.792,0.84,0.63,4.0,126.004,Kannada,Sunny,Afternoon
128,5EBktx8qSgl70wgIE0xMDU,Mohini Nava Moihini,S. P. Balasubrahmanyam|P. Susheela,0.0956,9.0,0.06,-12.81,0.0,0.386,0.73,0.1,4.0,127.991,Kannada,Clear,Night
